sigma_field,ecs_field,ecs_documentation_link,notes
certificate.serial,tls.server.x509.serial_number,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,High confidence - Certificate serial number
CertThumbprint,tls.server.hash.sha1,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,High confidence - Certificate thumbprint
cfgpath,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Configuration file path
Channel,log.logger,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - Log channel/logger name
cipher,tls.cipher,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,High confidence - TLS cipher suite
ClassName,winlog.event_data.ClassName,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows WMI class
ClientAddress,client.address,https://www.elastic.co/guide/en/ecs/current/ecs-client.html,High confidence - Client network address
ClientApp,user_agent.original,https://www.elastic.co/guide/en/ecs/current/ecs-user-agent.html,Medium confidence - Client application
ClientProcessId,process.parent.pid,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Client/parent process ID
CommandLine,process.command_line,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Full command line
comm,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux process command name
Company,file.pe.company,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - PE file company name
conditionalAccessStatus,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Access status outcome
Configuration,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Generic configuration data
ConsentContext.IsAdminConsent,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Azure AD consent context
Contents,file.content,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Low confidence - File content data
ContextInfo,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Generic context information
Count,event.sequence,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Event sequence/count
CreationUtcTime,file.created,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File creation timestamp
cs-cookie,http.request.headers,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,Medium confidence - HTTP cookie header
cs-host,url.domain,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - HTTP host header
cs-method,http.request.method,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP request method
cs-referer,http.request.referrer,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP referer header
cs-uri,url.path,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - HTTP URI path
cs-uri-query,url.query,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - HTTP query string
cs-user-agent,user_agent.original,https://www.elastic.co/guide/en/ecs/current/ecs-user-agent.html,High confidence - HTTP user agent
c-uri,url.path,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - IIS URI path
c-uri-extension,url.extension,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - URI file extension
c-uri-query,url.query,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - URI query string
c-useragent,user_agent.original,https://www.elastic.co/guide/en/ecs/current/ecs-user-agent.html,High confidence - IIS user agent
CurrentDirectory,process.working_directory,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process working directory
Data,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Generic data field
data.protoPayload.authorizationInfo.granted,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - GCP authorization result
data.protoPayload.authorizationInfo.permission,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - GCP permission requested
data.protoPayload.logName,log.logger,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - GCP log name
data.protoPayload.methodName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - GCP API method
data.protoPayload.resource.type,cloud.service.name,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - GCP resource type
data.protoPayload.serviceName,cloud.service.name,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - GCP service name
debugContext.debugData.requestUri,url.original,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - Azure AD request URI
debugcontext.debugdata.behaviors,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Azure debug behaviors
debugcontext.debugdata.logonlysecuritydata,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Azure security data
Description,rule.description,https://www.elastic.co/guide/en/ecs/current/ecs-rule.html,High confidence - Rule/event description
DestAddress,destination.address,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination network address
Destination,destination.address,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination address
DestinationHostname,destination.domain,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination hostname/domain
DestinationIp,destination.ip,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination IP address
DestinationPort,destination.port,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination port number
DestPort,destination.port,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination port
Details,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Generic details field
Device,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,Medium confidence - Device/host name
DeviceDescription,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,Medium confidence - Device description
DeviceDetail.deviceId,device.id,https://www.elastic.co/guide/en/ecs/current/ecs-device.html,High confidence - Azure AD device ID
DeviceDetail.isCompliant,host.os.type,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,Low confidence - Device compliance status
DeviceDetail.trusttype,host.os.type,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,Low confidence - Device trust type
DeviceName,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,High confidence - Device name
displaymessage,message,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Display message
DistinguishedName,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - LDAP distinguished name
dst_ip,destination.ip,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination IP (Zeek/Suricata)
dst_port,destination.port,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Destination port (Zeek/Suricata)
EncyptionUsed,tls.cipher,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,Medium confidence - Encryption method used
endpoint,url.full,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - Full endpoint URL
ErrorCode,error.code,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Error code
errorCode,error.code,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Error code
errorMessage,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Error message text
euid,user.effective.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Effective user ID (Linux)
EventID,event.code,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Windows Event ID
EventLog,log.file.path,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - Event log file path
eventName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - AWS/cloud event name
eventService,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service generating event
eventSource,event.provider,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Event source/provider
EventType,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - ECS event type
eventType,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - ECS event type
event_type,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Event type
event_type_id,event.code,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Event type identifier
eventtype,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Event type
ExceptionCode,error.code,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Exception code
exe,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Executable path
failure_status_reason,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Failure reason
Feature_Name,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Feature name
FileName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File name without path
Filename,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File name
FileNameBuffer,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File name from buffer
FileVersion,file.pe.file_version,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - PE file version
FilterName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Filter name
FilterOrigin,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Filter origin
gcp.audit.method_name,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - GCP audit method
GrantedAccess,winlog.event_data.GrantedAccess,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows granted access mask
Hash,file.hash.sha256,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File hash (SHA256)
Hashes,file.hash.sha256,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File hashes
HiveName,registry.hive,https://www.elastic.co/guide/en/ecs/current/ecs-registry.html,High confidence - Windows registry hive
HomeTenantId,cloud.account.id,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - Azure AD tenant ID
host,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,High confidence - Host name
hostPath,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Host path (K8s)
id.orig_h,source.ip,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Zeek originator IP
id.resp_h,destination.ip,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Zeek responder IP
id.resp_p,destination.port,https://www.elastic.co/guide/en/ecs/current/ecs-destination.html,High confidence - Zeek responder port
Image,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Sysmon process image path
ImageLoaded,dll.path,https://www.elastic.co/guide/en/ecs/current/ecs-dll.html,High confidence - Sysmon DLL loaded
ImageName,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Image/process name
ImagePath,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Full image path
ImpersonationLevel,winlog.event_data.ImpersonationLevel,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows impersonation level
Initiated,event.start,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Action initiated timestamp
InitiatedBy,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - User who initiated action
Initiatedby,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - User who initiated action
actor.alternateid,user.email,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - Azure AD alternate ID
additionalDetails.additionalInfo,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Additional info
additionalEventData.MFAUsed,user.mfa,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - MFA usage indicator
AdditionalInfo,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Additional information
AccessList,winlog.event_data.AccessList,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows access control list
AccessMask,winlog.event_data.AccessMask,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows access mask
ActivityDetails,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Activity details
ActivityDisplayName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Activity display name
ActivityType,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Activity type
activityType,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Activity type
IntegrityLevel,process.integrity_level,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process integrity level (Windows)
InterfaceUuid,winlog.event_data.InterfaceUuid,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows RPC interface UUID
IpAddress,source.ip,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - IP address (typically source)
IpPort,source.port,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - IP port
IsatapRouter,network.name,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,Low confidence - ISATAP router name
key,registry.key,https://www.elastic.co/guide/en/ecs/current/ecs-registry.html,High confidence - Windows registry key
KeyLength,tls.server.x509.public_key_size,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,Medium confidence - Encryption key length
Keywords,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Windows event keywords
LayerRTID,winlog.event_data.LayerRTID,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows filtering layer ID
legacyeventtype,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Legacy event type
Level,log.level,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - Log level (info/warn/error)
LocalName,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Local file name/path
Location,geo.name,https://www.elastic.co/guide/en/ecs/current/ecs-geo.html,High confidence - Geographic location
LoggedByService,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service that logged event
LogonId,user.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Windows logon session ID
LogonProcessName,winlog.event_data.LogonProcessName,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows logon process
LogonType,winlog.event_data.LogonType,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows logon type
logtype,log.level,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,Medium confidence - Log type/level
method,http.request.method,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP method (GET/POST/etc)
ModifiedProperties{}.NewValue,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Azure AD modified properties
ModifyingApplication,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Application making modification
Name,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Generic name field (context-dependent)
name,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Generic name field
nametype,dns.question.type,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS query type
NetworkLocationDetails,network.name,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,Low confidence - Network location details
new_value,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New value in change
NewName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - New file name
NewTargetUserName,user.target.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - New target user name
NewTemplateContent,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New template content
NewUacValue,winlog.event_data.NewUacValue,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - New UAC value
NewValue,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New value
ObjectClass,winlog.event_data.ObjectClass,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows object class
ObjectDN,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - LDAP object distinguished name
ObjectId,file.inode,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Object/file identifier
ObjectName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Object/file name
objectRef.apiGroup,orchestrator.api_version,https://www.elastic.co/guide/en/ecs/current/ecs-orchestrator.html,High confidence - K8s API group
objectRef.namespace,orchestrator.namespace,https://www.elastic.co/guide/en/ecs/current/ecs-orchestrator.html,High confidence - K8s namespace
objectRef.resource,orchestrator.resource.type,https://www.elastic.co/guide/en/ecs/current/ecs-orchestrator.html,High confidence - K8s resource type
objectRef.subresource,orchestrator.resource.name,https://www.elastic.co/guide/en/ecs/current/ecs-orchestrator.html,High confidence - K8s subresource
ObjectServer,winlog.event_data.ObjectServer,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows object server
ObjectType,winlog.event_data.ObjectType,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows object type
ObjectValueName,registry.value,https://www.elastic.co/guide/en/ecs/current/ecs-registry.html,High confidence - Registry value name
OldUacValue,winlog.event_data.OldUacValue,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Old UAC value
OldValue,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Old value before change
Operation,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation performed
operation,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation type
OperationName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation name
operationName,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation name
OperationNameValue,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation name value
OpNum,winlog.event_data.OpNum,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Windows RPC operation number
Origin,url.original,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,Medium confidence - Origin URL
OriginalFileName,file.pe.original_file_name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - PE original file name
outcome.reason,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Outcome reason
outcome.result,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Outcome result
PackageFullName,package.name,https://www.elastic.co/guide/en/ecs/current/ecs-package.html,High confidence - Full package name
PackagePath,package.path,https://www.elastic.co/guide/en/ecs/current/ecs-package.html,High confidence - Package path
param1,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Process argument 1
param2,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Process argument 2
param3,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Process argument 3
ParentCommandLine,process.parent.command_line,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Parent process command line
ParentImage,process.parent.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Parent process executable
ParentProcessId,process.parent.pid,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Parent process ID
ParentUser,process.parent.user.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Parent process user
Path,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File path
path,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - File path
Payload,http.request.body.content,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,Medium confidence - Request payload
payload,http.request.body.content,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,Medium confidence - Payload data
PipeName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Named pipe name
PossibleCause,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,Medium confidence - Possible cause description
PreAuthType,winlog.event_data.PreAuthType,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Kerberos pre-auth type
PreviousCreationUtcTime,file.created,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Previous creation time
PrivilegeList,user.effective.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - User privileges
process,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process name
ProcessId,process.pid,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process ID
ProcessName,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process name
ProcessNameBuffer,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process name from buffer
ProcessPath,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process executable path
processPath,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Process path
Product,file.pe.product,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - PE product name
Properties,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Generic properties
properties.message,message,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Properties message
Protocol,network.protocol,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,High confidence - Network protocol
Provider,log.logger,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - Log provider
Provider_Name,log.logger,https://www.elastic.co/guide/en/ecs/current/ecs-log.html,High confidence - Provider name
ProviderContextName,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,Medium confidence - Provider context
qtype_name,dns.question.type,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS question type name
Query,dns.question.name,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS query
query,dns.question.name,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS query
QueryName,dns.question.name,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS query name
Reason,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Reason description
reason,error.message,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Reason text
record_type,dns.question.type,https://www.elastic.co/guide/en/ecs/current/ecs-dns.html,High confidence - DNS record type
rejected,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Rejected = failure outcome
RelativeTargetName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,Medium confidence - Relative target name
RemoteName,network.name,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,Medium confidence - Remote network name
request_type,http.request.method,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP request type
RequestedPolicy,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Requested policy
requestParameters,http.request.body.content,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,Medium confidence - AWS/API request params
requestParameters.attribute,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Request attribute
requestParameters.containerDefinitions.command,process.command_line,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Container command
requestParameters.enable,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Enable parameter
requestParameters.layers,container.image.name,https://www.elastic.co/guide/en/ecs/current/ecs-container.html,Medium confidence - Container layers
RequestType,http.request.method,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP request type
ResourceDisplayName,cloud.service.name,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,Medium confidence - Resource display name
ResourceId,cloud.instance.id,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - Cloud resource ID
ResourceProviderValue,cloud.provider,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - Cloud provider
ResourceTenantId,cloud.account.id,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - Resource tenant ID
resp_mime_types,http.response.mime_type,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - Response MIME type
responseElements,http.response.body.content,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,Medium confidence - API response elements
responseElements.ConsoleLogin,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Console login response
